Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.01882101,46.15616525,46.33797975,46.55069949,46.79057771,46.939272,47.0258113,47.09140964,47.17520164,47.2408487,47.27313082,47.33073423,47.39386439,47.45164296,47.50518429,47.46870344,47.40128318,47.33383933,47.27156806,47.13189083,47.12922773,47.0562332,47.06903506,47.04564035,47.03932723,47.0498429,47.15328133,47.19685664,47.24233724,47.23490627,47.38629627,47.27851704,47.34666018
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92805812,17.01197833,17.04045636,17.06136926,17.14471687,16.97889997,16.81418371,16.68663876,16.59429452,16.51233519,16.61852964,16.76435958,16.91838788,17.06114895,17.18979532,16.9851075,16.79509985,16.63934882,16.54756002,16.55615636,16.87505232,17.2789832,18.23056253,19.21842401,20.24479059,21.3078664,22.41811174,21.75615817,20.99141212,19.79348615,17.92768379,6.847929315,6.537577794
Africa Western and Central,AFW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.79241314,45.76905036,45.77692557,45.80554256,45.85470846,45.85360199,45.87368702,45.90055358,45.94265622,45.98863037,45.97704674,45.96555068,45.92476809,45.88206124,45.84189575,45.76335308,45.73932339,45.6851885,45.63468924,45.58909029,45.57204209,45.56325694,45.56252509,45.34718396,45.15174981,44.90408748,44.64550272,44.32785112,44.07186397,43.99910966,44.06910719,43.95289004,43.98939627
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.03587139,50.09662794,50.21240218,50.35175654,50.42077683,50.38887527,50.37293266,50.3901716,50.44822287,50.51117405,50.52745219,50.55215494,50.5585047,50.55424245,50.54639161,50.49505865,50.45333122,50.41441777,50.38117805,50.35805686,49.79811245,49.80340687,49.81236159,49.82365969,49.83663767,49.84902359,49.85974959,49.87547876,49.89327816,49.87957871,50.14206404,49.54920492,49.59274208
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.98132374,41.23914662,41.31031472,41.40245561,41.45451676,41.54780076,41.81127417,41.8739642,41.88236024,41.90655579,41.88579168,41.85129153,42.03539105,42.22166197,42.41814815,42.63683849,42.8841947,43.15763682,42.07159175,42.66484608,44.06023613,43.07963829,41.85302213,41.19511826,42.50292163,43.57696469,42.87430871,43.39270421,43.94223603,43.83834565,44.31028484,44.14922467,44.25572762
Andorra,AND,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.81192383,20.07696124,19.91473205,20.20558562,20.15473736,20.16519658,20.10474128,20.10147714,20.43075204,20.62547169,20.75242323,20.33938018,20.5001398,20.64290933,20.78742568,20.94131125,21.33713724,20.90859132,21.0179581,20.90377675,20.94007346,20.99975019,21.18926942,21.29790292,21.64670119,21.85287285,21.40382153,20.67980945,20.29001967,20.3912824,20.8262046,20.70188776,20.86264441
United Arab Emirates,ARE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7465648,10.89807126,11.09181913,11.15323075,11.21828928,11.41943432,11.60442976,11.79683898,11.99802487,12.20599533,12.41135871,12.61330128,12.81291127,13.01015677,13.11844589,13.10650584,12.96051373,12.85967519,12.87217317,13.18943659,13.73675002,14.27178828,14.79328829,15.30344695,15.8070513,16.29940581,16.99599559,17.13886871,18.48414917,20.11112891,17.71722016,18.04970052,18.5447376
Argentina,ARG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.94618486,40.42796161,40.93651416,41.26936256,40.95354632,41.27355498,41.78371068,41.99776354,41.67878709,41.55845479,41.16908833,40.24025581,40.83475526,41.42644396,40.98261104,41.30738265,41.05324692,40.79610054,41.15223797,40.59997808,40.48755669,40.75852342,40.67292705,40.82346403,41.02502325,41.23308485,41.44127052,42.14622011,42.37605603,42.39383414,42.53391082,42.51826706,42.68612796
